date,confirmed_val
2020-03-28,479220.2911801936
2020-03-29,477142.6753117783
2020-03-30,485969.6944075369
2020-03-31,502710.96639504685
2020-04-01,531650.7947079506
2020-04-02,564601.4073377018
2020-04-03,597144.6373838661
2020-04-04,623467.8504111194
2020-04-05,629307.7271855219
2020-04-06,649958.2572032504
2020-04-07,677641.8973317567
2020-04-08,711427.6571212884
2020-04-09,741168.6979655836
2020-04-10,765067.7923449107
2020-04-11,782081.078925825
2020-04-12,780844.7424724963
2020-04-13,795817.1458531093
2020-04-14,816625.1832855935
2020-04-15,841753.0157176463
2020-04-16,864208.877173803
2020-04-17,886896.2981029991
2020-04-18,910881.6575912893
2020-04-19,922245.2205966084
2020-04-20,950354.9686779107
2020-04-21,981669.9537100972
2020-04-22,1015989.0819321083
2020-04-23,1050225.995049804
2020-04-24,1089064.2952425154
2020-04-25,1130079.6869820883
2020-04-26,1152114.8135458357
2020-04-27,1178649.5307608484
