date,active_val
2020-03-28,437017.05895417184
2020-03-29,449789.25488817063
2020-03-30,467847.1712425528
2020-03-31,488373.9910546276
2020-04-01,517345.24589574424
2020-04-02,548897.3197918462
2020-04-03,582073.6041569089
2020-04-04,612712.2860726165
2020-04-05,629392.7771157342
2020-04-06,652790.1708290281
2020-04-07,677547.0867520404
2020-04-08,708079.7634065865
2020-04-09,739131.4056158966
2020-04-10,771991.4099544401
2020-04-11,804370.7884384996
2020-04-12,824495.0785409759
2020-04-13,850417.1614509631
2020-04-14,873804.737890307
2020-04-15,898063.7798274251
2020-04-16,919707.3631268262
2020-04-17,943310.4185523819
2020-04-18,969246.2014124419
2020-04-19,986594.5026332614
2020-04-20,1013003.0371996606
2020-04-21,1039862.5708454647
2020-04-22,1071059.1675341714
2020-04-23,1103504.5180807698
2020-04-24,1140648.1904391267
2020-04-25,1179742.2662672803
2020-04-26,1205986.0385329954
2020-04-27,1234492.1326752552
